Facility,County,Type,Lat,Lon,Power source,Outage hrs/wk,UPS,Backup system,Internet type,Download Mbps,Upload Mbps,Uptime %,Latency,Mobile signal,Laptops,Desktops,Tablets,Networking devices,In-survey literacy %,Health Centerian documents?,Dedicated IT support?,Support channel (Ops),Record method,On-time reporting,Client ID,DHIS2 reporting,Operational?
Bahn Health Center,Nimba,Health Center,7.03,-8.73,Grid,16,,Generator only,Starlink,195.41,16.03,99,Low / stable (<80ms),Weak (-85 to -100 dBm),3,0,0,4,72,Some Health Centerians,No,Exists but inconsistent usage,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Barnersville HC,Montserrado,Health Center,6.37,-10.73,Grid,3.99,Some workstations,Multiple backup systems (specify below),,,,,,Weak (-85 to -100 dBm),1,1,1,1,78,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Boegeezay Health Center,River Cess,Health Center,6.15,-9.32,Solar / Inverter,24,All critical workstations,,,,,,,Weak (-85 to -100 dBm),1,0,1,0,74,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Bromely Community Health Center,Montserrado,Health Center,6.41,-10.74,,0,,,,,,,,Moderate (-70 to -85 dBm),0,0,0,0,73,No - No Health Centerian,No,,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Chocolate City HC,Montserrado,Health Center,6.33,-10.75,Grid,15,,Solar / Inverter only,,,,,,Weak (-85 to -100 dBm),1,0,0,0,74,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Clara Town Health Center,Montserrado,Health Center,6.33,-10.8,Grid,28,,Generator only,,,,,,Weak (-85 to -100 dBm),1,2,0,0,72,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Cotton Tree Health Center,Margibi,Health Center,6.29,-10.33,Grid,12,,Generator only,,,,,,Moderate (-70 to -85 dBm),0,0,0,0,77,No - No Health Centerian,No,,Paper only,70-89% on time,Yes - routinely,Yes - consistently,Yes
Damballa Health Center,Grand Cape Mount,Health Center,7.14,-11.28,Solar / Inverter,8,,,,,,,,Weak (-85 to -100 dBm),1,0,0,0,60,No - No Health Centerian,No,,Paper only,<70% on time,Yes - routinely,Yes - consistently,Yes
Dolo's Town Health Center,Margibi,Health Center,6.25,-10.36,Grid,12,,Generator only,,,,,,Strong (above -70 dBm),4,0,1,0,67,No - No Health Centerian,No,,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Dr. Agnes Varis Health Center,Montserrado,Health Center,6.25,-10.68,Grid,18,,Solar / Inverter only,,,,,,Strong (above -70 dBm),1,0,0,0,55,No - No Health Centerian,No,,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Duport Road Health Center,Montserrado,Health Center,6.28,-10.69,Generator,16,,Solar / Inverter only,,,,,,Moderate (-70 to -85 dBm),4,2,0,0,73,No - No Health Centerian,No,,Paper only,70-89% on time,Yes - routinely,Yes - consistently,Yes
Foya  Health Center,Lofa,Health Center,8.34,-10.2,Solar / Inverter,2,Some workstations,Multiple backup systems (specify below),,,,,,None (below -100 dBm or no signal),3,2,1,0,64,No - No Health Centerian,No,Exists but inconsistent usage,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
GW Harley Hospital,Nimba,Hospital,7.36,-8.71,Generator,4,Some workstations,Multiple backup systems (specify below),,,,,,None (below -100 dBm or no signal),5,2,0,0,78,No - No Health Centerian,No,Exists but inconsistent usage,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Garzon Health Center,Margibi,Health Center,6.4,-10.43,Solar / Inverter,8,,Generator only,,,,,,Moderate (-70 to -85 dBm),0,0,0,0,53,No - No Health Centerian,No,,Paper only,70-89% on time,Yes - routinely,Yes - consistently,Yes
Gbarzon Health Center,Grand Gedeh,Health Center,6.23,-8.44,Solar / Inverter,5,,Generator only,,,,,,Moderate (-70 to -85 dBm),0,0,0,0,60,No - No Health Centerian,No,Integrated and routine,Paper only,70-89% on time,Yes - routinely,Yes - consistently,Yes
Gbeapo Health Center,River Gee,Health Center,5.23,-8.01,Solar / Inverter,20,,,3G Wi-Fi Starlink,5.81,11,50,Low / stable (<80ms),Weak (-85 to -100 dBm),1,0,0,0,66,No - No Health Centerian,No,,Paper only,>=90% on time,No unique ID,Yes - consistently,Yes
J N Davies Hospital,Montserrado,Hospital,6.3,-10.71,Generator,24,,Generator only,Starlink,20,26.8,80,High / unstable (>200ms),Moderate (-70 to -85 dBm),10,4,0,4,73,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
JJ Dossen Hospital,Maryland,Hospital,4.38,-7.71,Grid,8,,Generator only,3G 4G Starlink,1.93,1.78,95,Low / stable (<80ms),Moderate (-70 to -85 dBm),5,3,0,0,56,No - No Health Centerian,No,,Hybrid (paper + digital),70-89% on time,Yes - routinely,Yes - consistently,Yes
Kakata Health Center,Margibi,Health Center,6.55,-10.33,Solar / Inverter,15,,Multiple backup systems (specify below),4G,9.03,4.51,100,Low / stable (<80ms),Strong (above -70 dBm),2,1,1,2,82,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - Inconsistently,Yes - consistently,Yes
Karnplay Health Center,Nimba,Health Center,7.26,-8.5,Grid,53,,Multiple backup systems (specify below),,,,,,None (below -100 dBm or no signal),4,0,2,0,82,No - No Health Centerian,No,Exists but inconsistent usage,Paper only,70-89% on time,Yes - routinely,Yes - consistently,Yes
Konia Health Center,Lofa,Health Center,7.96,-9.54,Solar / Inverter,0,,,,,,,,None (below -100 dBm or no signal),3,1,0,0,70,No - No Health Centerian,No,Exists but inconsistent usage,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Konobo Health Center,Grand Gedeh,Health Center,5.77,-7.86,Solar / Inverter,40,,Solar / Inverter only,,,,,,Weak (-85 to -100 dBm),0,0,0,0,66,No - No Health Centerian,No,,Paper only,>=90% on time,No unique ID,Yes - consistently,Yes
Lofa Bridge Health Center,Grand Cape Mount,Health Center,7.07,-10.88,Solar / Inverter,24,Some workstations,,,,,,,Moderate (-70 to -85 dBm),0,0,0,0,76,No - No Health Centerian,No,Integrated and routine,Paper only,70-89% on time,Yes - routinely,Yes - consistently,Yes
Marshall Health Center,Margibi,Health Center,6.15,-10.38,Grid,12,,Generator only,,,,,,Moderate (-70 to -85 dBm),0,0,0,0,73,No - No Health Centerian,No,,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
