Timestamp,Score,Name of Facility,County,Role of respondent,How was this assessment administered?,1. Which of the following devices is a tablet?,2. Which of the following is an example of an email address? ,3. Which of the following devices is a computer?,4. Which of the following shows the button used to turn on the computer?,5. You can send a file or photo as an attachment in an email.,6. Which of the following is the BEST practice when entering data into a health form?,7. Why is it important to enter patient data accurately into a digital health system?,8. You receive an email asking you to click a link and enter your password urgently. What should you do?,9. Turning a device off and on again (restarting) can fix many common software problems.,10. What is a web browser?,Thanks for completing this assessment. Do you have a comment / feedback to share? Please do.
5/11/2026 10:33:16,80 / 100,JJ Dossen Hospital,Maryland,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,Enter data at end of the week when you have more time,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/11/2026 10:41:04,60 / 100,JJ Dossen Hospital,Maryland,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),C,healthworker@moh.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,,TRUE,A tool used to access and view websites on the internet,
5/11/2026 10:48:35,20 / 100,JJ Dossen Hospital,Maryland,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),C,Health Worker / MOH / Liberia,A,A,FALSE,Enter data at end of the week when you have more time,To make the system run faster,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/11/2026 10:53:34,70 / 100,JJ Dossen Hospital,Maryland,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A type of internet connection,
5/11/2026 10:59:30,50 / 100,JJ Dossen Hospital,Maryland,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),B,healthworker@moh.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/11/2026 12:28:40,90 / 100,GW Harley Hospital,Nimba,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,What is system will be used for? Will there be a training before its use?
5/11/2026 12:53:05,90 / 100,GW Harley Hospital,Nimba,Supply chain coordinator,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A tool used to access and view websites on the internet,When will this program get started in the county?
5/11/2026 13:03:20,80 / 100,GW Harley Hospital,Nimba,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,Philemon Gbarwee
5/11/2026 13:16:07,60 / 100,GW Harley Hospital,Nimba,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),C,healthworker@moh.gov.lr,B,C,TRUE,Enter data at end of the week when you have more time,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A type of internet connection,
5/11/2026 13:37:37,70 / 100,GW Harley Hospital,Nimba,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,Enter data at end of the week when you have more time,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A type of internet connection,
5/11/2026 14:03:45,90 / 100,GW Harley Hospital,Nimba,"Administrative / Management (HR, Logistics, Finance, etc.)",Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,What is the result of this assessment?
5/11/2026 14:18:14,80 / 100,Sinje Health Center,Grand Cape Mount,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A programme that stores your files and documents,
5/11/2026 14:22:10,90 / 100,Sinje Health Center,Grand Cape Mount,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/11/2026 14:22:19,90 / 100,Sinje Health Center,Grand Cape Mount,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/11/2026 14:24:15,50 / 100,Sinje Health Center,Grand Cape Mount,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,www.healthliberia.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To avoid paying for paper registers,,TRUE,A device connected to Wi-Fi,
5/11/2026 14:27:52,80 / 100,Sinje Health Center,Grand Cape Mount,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/11/2026 15:58:47,80 / 100,Pleebo Health Center,Maryland,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,Enter data at end of the week when you have more time,To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A tool used to access and view websites on the internet,
5/11/2026 16:00:42,30 / 100,Pleebo Health Center,Maryland,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),B,www.healthliberia.gov.lr,A,B,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Reply with your password so they can verify,TRUE,A device connected to Wi-Fi,
